"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100507008",-1.4783,-0.8099
"100507027",1.1165,1.3939
"100507034",-1.0441,0.2487
"100507043",-1.8538,-0.9422
"100507044",-0.255,0.1629
"100507050",0.9253,0.9261
"100507057",0.482833333333333,0.1006
"100507058",-2.0734,-0.0286
"100507059",-1.751,-0.3433
"100507062",2.5643,1.7532
"100507064",-0.8746,-0.3284
"100507066",-1.3992,0.1742
"100507086",0.397,-0.4441
"100507098",-0.6042,-0.0121
"100507099",-0.5086,-0.4409
"100507114",-1.1375,1.1329
"100507117",0.1977,-0.6286
"100507135",-0.4788,0.6472
"100507140",0.3601,0.1273
"100507143",0.0371,1.3631
"100507156",-2.1773,-0.0335
"100507171",-1.942,-0.6467
"100507173",-0.1097,1.2825
"100507194",-2.3693,-1.3621
"100507201",-0.4713,-0.221
"100507203",-1.2812,-0.0295
"100507206",0.5276,0.4459
"100507217",-2.7095,-3.6781
"100507218",-1.9372,-1.6944
"100507240",-1.19825,-0.46295
"100507244",1.09305,-0.01095
"100507246",-0.17325,1.6411
"100507249",-1.0861,0.2427
"100507250",0.5899,0.0406
"100507254",-1.604,0.60025
"100507257",1.2884,3.6374
"100507261",0.2432,0.738
"100507266",0.7943,0.0944
"100507267",-0.7846,-0.1253
"100507274",-0.1011,0.200866666666667
"100507277",1.2825,1.7173
"100507290",-1.3886,0.03065
"100507297",1.4375,1.0979
"100507299",-0.9851,-2.2265
"100507300",-1.391,-1.39055
"100507303",-0.3072,-1.2096
"100507316",0.82245,1.3348
"100507331",-0.669,-0.6263
"100507351",-3.6521,-1.5843
"100507362",-0.7023,-0.0394
"100507377",0.3174,0.1798
"100507384",-0.8299,0.8936
"100507388",-0.0685,-0.5811
"100507389",-0.28425,-0.3299
"100507391",-2.6978,-1.8379
"100507392",0.4413,0.4438
"100507398",0.1089,0.0824
"100507410",-0.5504,2.1325
"100507412",-0.80655,0.12645
"100507419",0.5643,1.6461
"100507421",-2.2946,-1.02675
"100507423",0.4413,-0.0291
"100507428",-0.98185,-0.80495
"100507431",1.25,2.1623
"100507433",-2.7931,-3.7475
"100507435",-1.6927,-0.7135
"100507436",1.3103,1.7291
"100507443",-0.3388,0.9081
"100507459",4.43,6.3281
"100507461",-0.2584,-1.009
"100507462",0.7342,-1.442
"100507466",5.3252,2.5982
"100507468",2.29,3.3689
"100507470",0.7912,0.5833
"100507475",2.6011,1.7242
"100507487",2.0359,1.9152
"100507495",1.3204,0.799
"100507501",1.6286,1.7743
"100507506",0.1541,0.5275
"100507524",0.1056,-0.9878
"100507527",1.506,-0.2377
"100507530",0.5911,-0.6749
"100507533",-0.7108,-2.4856
"100507534",-0.7389,-0.5243
"100507537",2.0034,0.9011
"100507540",-0.3137,-0.0731
"100507557",2.2046,3.1348
"100507567",-0.6498,-0.76185
"100507584",0.4029,0.418925
"100507599",1.0137,0.5752
"100507600",0.8847,0.2692
"100507602",-1.601,-1.15985
"100507605",-0.9656,-0.9301
"100507616",0.29285,0.06815
"100507629",-1.0253,-0.2017
"100507632",1.6483,1.6607
"100507634",-0.51835,0.1135
"100507650",0.3011,1.3013
"100507670",0.5862,1.4215
"100508631",-2.0244,-2.3446
"10051",2.77353333333333,-0.844866666666667
"10052",-0.276575,-1.306
"100526820",-1.1575,-1.3546
"100527964",1.4936,-1.6455
"100528062",0.1605,2.082
"10053",-1.6186,-0.08285
"100533106",1.5109,2.1215
"100533178",0.5412,0.2941
"100533182",-0.4441,-1.1379
"100533184",-1.5449,0.1768
"100533789",0.6224,1.736
"10054",-2.557,1.56415
"10055",-3.2325,-1.4182
"10056",2.323625,0.04445
"10057",-0.25285,-0.5783
"10058",2.2989,1.1489
"10059",-2.66275,-0.96745
"1006",-0.157,-0.703766666666667
"10060",-0.25005,-0.037875
"10061",0.499433333333333,1.8728
"100616668",-1.36885,-1.8212
"10062",1.8668,2.2371
"100628307",2.482,2.2196
"100628315",9.3325,-0.6496
"10063",3.628,3.8307
"100630918",-0.1915,0.3002
"100631378",-0.39545,-0.0311
"100642175",0.354,-1.1863
"100652740",0.9088,-0.1702
"100652768",-0.9627,0.7091
"100652770",-0.13895,1.60705
"100652772",-1.4451,1.5659
"100652791",-0.6852,0.3691
"100652824",-0.8699,-0.2492
"100652853",1.8769,3.1084
"100652856",-2.6343,-0.86885
"100652857",0.938,1.4433
"100652911",1.1974,0.5179
"100652929",-2.5502,0.1705
"100652999",-0.4581,-0.9502
"10066",-3.6346,-0.3094
"10067",1.6621,1.3724
"10068",1.39305,1.5042
"100689073",-0.29285,0.23035
"100689074",0.5534,0.1042
"10069",1.5571,4.632
"1007",-0.5008,0.0849
"10071",-0.0756,0.0068
"10072",-1.70995,-1.07825
"10073",-0.4879,0.5515
"10075",0.09155,0.01275
"10076",0.3724,0.4696
"10077",-1.2143,-0.82765
"10078",-0.4037,-0.2419
"10079",-1.5608,-3.6932
"1008",-1.4528,-4.1039
"10081",-1.8828,0.2263
"10082",-2.16815,0.1889
"100820829",-0.0519,1.6077
"10083",-0.2685,0.133
"10084",-1.1878,-0.61875
"100847062",-1.8488,-0.3683
"10085",4.39756666666667,2.70596666666667
"100852407",-1.7711,-0.579
"100852408",0.1204,1.9567
"100852409",-0.2013,0.9576
"100859921",-1.4579,-0.9887
"100859930",0.2538,0.2765
"10086",-1.54105,-0.29165
"100861523",-1.0386,0.6519
"100861541",2.2649,2.6153
"100861543",-1.252,0.0437
"100861544",-0.2418,-0.0438
"100861545",-1.1789,-0.67
"100861546",-0.0579,0.2483
"100861547",-0.7734,-0.7323
"100861548",3.4235,-1.3347
"100861552",-0.3608,-0.2392
"100861553",-0.612,0.1014
"100861554",-0.958,-1.4172
"100861555",-0.3897,0.1356
"100861573",-2.6442,-1.6006
"100862662",-1.6054,0.4102
"100862671",-1.37185,0.07
"100862679",-1.1996,-0.0674
"100862680",-0.1684,-0.2904
"100862704",0.0134500000000001,0.9336
"10087",-1.317375,-0.6623
"100873923",1.0025,1.096
"100873930",-1.3023,-0.2776
"100873942",2.1833,2.1161
"100873954",1.5835,1.4378
"100873964",-0.1279,1.4513
"100873979",3.7093,4.9226
"100873985",-0.1007,-0.0159
"100874012",-0.6911,1.0129
"100874014",-1.601,1.9064
"100874018",-1.4014,-1.5938
"100874021",-1.0031,-1.6798
"100874032",2.3676,4.8945
"100874034",0.5648,-0.9105
"100874035",-1.5156,0.1009
"100874038",0.4206,-0.3051
"100874051",-2.509,-0.1073
"100874063",0.0163,-0.4766
"100874068",0.1192,0.20375
"100874069",2.1451,0.3497
"100874074",0.9774,0.5434
"100874107",-1.1362,1.0274
"100874110",-1.5653,-4.8303
"100874143",-1.2541,-0.3575
"100874167",-0.9511,-0.7353
"100874178",-0.2899,-0.3887
"100874180",-1.1004,-0.7722
"100874182",0.2713,0.0114
"100874187",-0.8365,-0.5291
"100874194",-0.4252,-0.2123
"100874195",-0.319766666666667,-0.1351
"100874198",-0.2678,0.7557
"100874205",-0.679833333333333,-0.1769
"100874238",-2.8646,-2.3704
"100874239",0.4501,-0.2891
"100874241",-1.3284,-0.3509
"100874243",0.1783,-0.6409
"100874251",-0.0716,-0.6774
"100874253",-0.9856,-0.4487
"100874291",1.5584,1.3437
"100874292",0.469,0.9812
"100874305",-1.2247,-0.1595
"100874309",-0.7526,0.1455
"100874314",-0.0253,1.0717
"100874323",0.7372,0.4881
"100874362",-1.1486,1.5529
"100874375",-0.7012,-0.5494
"100874433",0.3547,0.2215
"100885775",1.142,1.0326
"100885778",1.3362,0.6793
"100885781",2.1136,2.462
"100885798",-0.4546,1.2169
"100885848",-1.4094,-0.2076
"10089",-0.842,0.661166666666667
"1009",7.151625,8.2596
"10090",0.23305,0.9364
"10092",0.763,-0.6627
"10093",-0.2722,-1.0351
"10094",0.5038,1.5302
"10095",3.76,3.674
"10096",0.5773,-0.21465
"10097",-0.5584,-0.2021
"10098",-0.0558333333333333,-0.4308
"10099",-3.63914,-0.76158
"100996246",0.0603,-1.5693
"100996251",1.8289,0.3027
"100996279",-0.8047,0.863
"100996280",-1.9943,-1.0919
"100996286",-1.9264,-0.3109
"100996295",-0.6164,-0.3923
"100996301",-0.3574,0.04775
"100996307",-1.2639,0.8009
"100996342",-0.4186,0.1858
"100996345",-1.5332,0.5397
"100996385",1.5067,1.5544
"100996425",-0.0993,-0.781
"100996455",0.8673,1.2527
"100996485",-0.1082,0.5218
"100996490",-1.68405,-3.1418
"100996492",-1.10816666666667,1.49133333333333
"100996511",1.8759,0.688
"100996539",3.0234,2.1943
"100996570",0.138733333333333,1.07986666666667
"100996579",-0.1161,-0.34305
"100996583",-0.7591,-0.3037
"100996590",0.2911,0.3288
"100996597",0.9164,0.7663
"100996624",-1.2856,-1.3396
"100996654",-0.6161,-0.1924
