"","GSE15209_G144.GBM_vs_Fetal.NSC","GSE15209_G174.AnaOlig_vs_Fetal.NSC"
"100506311",2.0138,1.79135
"100506314",-0.10065,-0.01795
"100506319",0.1532,0.0116
"100506325",1.0461,0.929
"100506343",-0.069,0.0696
"100506358",0.0387,0.1275
"100506365",0.36875,0.311
"100506368",-0.1763,-0.0656
"100506371",-0.1446,-0.0433
"100506374",0.0266,0.0277
"100506380",-0.74815,-0.77305
"100506385",0.0816,0.0925
"100506388",-0.2648,0.0674
"100506403",-0.0714,0.0427
"100506406",0.2722,0.2271
"100506409",-0.0903,-0.2244
"100506413",0.0104,0.0441
"100506421",0.4153,-1.4622
"100506428",0.0188,-0.0138
"100506433",-0.1979,0.0561
"100506436",0.1718,0.10625
"100506443",-0.1904,-0.0841
"100506451",-0.0072,-0.0022
"100506457",0.36775,0.2629
"100506462",-0.3801,-0.1346
"100506465",-0.1347,0.0353
"100506469",-0.3653,-0.0619
"100506470",-0.3538,-0.0939
"100506473",0.3773,0.19
"100506475",-0.0224,0.06565
"100506492",0.0661,0.0505
"100506495",0.25,0.1429
"100506498",-0.0424,-0.0714
"100506504",-0.2314,-0.2717
"100506526",-0.2211,-0.1032
"100506527",0.0261,0.0632
"100506530",-0.1265,0.0186
"100506540",-0.10165,0.00530000000000001
"100506542",-0.0903,-0.0781
"100506555",0.3153,0.0661
"100506571",0.0909,-0.0083
"100506581",0.105,0.0778666666666667
"100506585",-0.1964,0.0472
"100506599",0.0116,-0.0352
"100506603",-0.2183,-0.0402
"100506622",0.0375,-0.0545
"100506649",-0.2254,-0.0087
"100506655",0.04045,-0.01665
"100506658",-0.0586,-0.346666666666667
"100506660",-0.0826,0.162
"100506668",-0.0107,-0.2765
"100506677",-0.0673,-0.0274
"100506679",-0.2446,0.0231
"100506680",0.09715,0.00755
"100506681",-0.1363,0.1035
"100506686",0.1351,0.3325
"100506696",0.1986,0.059
"100506697",0.1958,0.1799
