"","GSE75147_G166.GBM_vs_Fetal.NSC","GSE75147_GSC-0827.GBM_vs_Fetal.NSC"
"1040",-6.1762,3.5129
"1041",0.184,2.9805
"1047",-1.8723,0.951
"1050",4.6861,1.3791
"1051",2.2789,2.0441
"1052",-1.248,-1.9109
"1054",-0.9044,-0.0886
"1056",1.8187,0.1836
"1058",0.3112,0.634
"1059",1.6872,1.5805
"1060",-0.4142,-0.1295
"1062",-0.7984,0.4052
"1063",0.5229,0.2293
"1066",-0.4722,1.8674
"1069",-0.4449,-0.5842
"1070",0.4756,0.5396
"1072",-0.2969,-0.1732
"1073",-0.777,-0.1719
"1075",-1.9864,-1.3845
"1101",1.6998,3.1718
"1102",-2.8734,-2.5115
"1104",1.0771,1.1359
"1105",0.0841,-0.2717
"1106",-1.3807,-0.6995
"1107",-2.1891,-1.3805
"1108",0.7804,0.202
"1111",-0.4361,0.2203
"1112",-1.1021,0.8491
"1113",4.1342,-1.0636
"1114",3.5271,0.4505
"1116",6.4193,1.5211
"1117",7.3389,-1.6427
"1119",-0.718,0.253
"1120",-0.3181,-1.1137
"1121",0.4157,0.0672
"1122",0.1708,-0.8452
"1123",-4.138,-2.829
"1124",-5.4526,-5.3329
"1128",8.4266,1.6967
"1130",0.3302,1.9391
"1131",-3.851,-4.7763
"1132",-1.9567,-1.475
"1133",0.9165,-0.4064
"1134",-13.1563,-7.1946
"1136",3.4805,0.1324
"1138",2.3641,-0.0107
"1139",-5.8674,-3.6797
"1140",-2.6451,0.2979
"1141",2.347,0.0765
"1143",5.9534,1.0741
"1145",-0.3762,-0.0276
"1146",3.6184,-2.0335
"1147",0.0488,-0.4236
"1152",1.8307,0.8063
"1153",-0.1931,0.1645
"1154",1.8017,-0.0845
"1155",0.4497,0.1643
"1159",0.213,-1.0585
"1160",-0.3042,-1.2708
"1161",0.0907,-0.686
"1163",0.524,1.0655
"1164",0.915,1.2672
"1173",-0.1318,0.3483
"1174",1.1557,-0.0846
"1175",0.2866,0.4545
"1176",-1.543,-0.6537
"1180",2.3575,1.118
"1181",4.211,2.4523
"1182",-0.0858,-0.201
"1183",2.6825,2.5941
"1184",1.2268,-0.5477
"1185",-0.687,-0.3563
"1186",1.4969,0.6628
"1187",1.6007,1.5434
"1188",-1.8311,-1.211
"1191",0.2269,-0.6478
"1192",-0.0505,0.4105
"1193",-3.533,-1.646
"1195",-1.7907,-1.0361
"1196",0.7325,0.7993
"1198",0.7755,0.8514
"1200",-1.4762,-0.2985
"1201",1.6034,0.8129
"1203",-1.7984,-1.2824
"1207",0.4778,-0.2519
"1209",0.4789,0.8178
"1211",0.7813,0.1218
"1212",-0.2669,0.8413
"1213",-0.7386,0.1646
"1230",1.1032,0.6016
"1235",-0.6101,1.3658
"1238",1.3762,2.2155
"1240",1.8051,-0.7461
"1241",2.4559,1.0477
"1244",-2.7225,-0.0827
"1259",-0.8235,3.6576
"1262",1.5526,1.0746
"1263",-0.526,0.0467
"1264",-4.1627,-3.0671
"1265",-1.1721,-0.6791
"1266",-2.0948,0.0732
"1267",0.6539,0.5577
"1268",-0.033,1.3573
"1270",-3.1136,-1.7438
"1271",10.1593,0.6187
"1272",-4.9439,7.3603
"1277",-10.8939,-0.4976
"1278",-12.875,-2.6586
"1280",-3.6629,-6.6527
"1281",-18.0464,-17.3681
"1282",-0.6442,-0.3975
"1284",0.1479,0.3183
"1285",1.5412,5.2492
"1286",-0.1116,3.5023
"1287",-10.0955,-0.1645
"1288",-9.344,0.2248
"1289",-7.5581,-9.3925
"1290",-7.9529,-1.3642
"1291",-1.3565,-2.3929
"1292",-5.6941,-3.071
"1293",-8.4928,-8.2933
"1294",-0.6911,1.0292
"1295",-11.5297,-2.4383
"1296",-3.5985,-0.7668
"1297",4.7938,3.6137
"1298",0.7282,0.0967
"1299",1.4019,-2.9418
"1300",-4.1963,-4.2932
"1301",-11.7004,1.2377
"1302",-0.3309,0.5368
"1303",-11.5446,-3.8564
"1305",-6.1554,-8.3676
"1306",1.5453,-1.6279
"1307",1.9817,-2.5905
"1308",-4.2245,-0.1582
"1310",8.737,9.7671
"1312",0.5921,0.7783
"1314",-0.8807,-0.5119
"1315",-1.6989,-0.2381
"1316",-1.8515,-1.7245
"1317",0.4791,0.32
"1318",-0.1999,1.0404
"1325",1.0506,-0.1381
"1326",-0.7274,-2.4438
"1327",1.2569,0.9493
"1329",1.4252,0.5004
"1337",0.8968,1.4472
"1340",0.1759,0.398
"1345",0.8419,0.7834
"1347",0.2454,1.1832
"1349",0.7633,1.1807
"1350",0.6592,1.3355
"1351",0.9761,1.4702
"1352",1.3365,0.7415
"1353",0.1043,0.1462
"1355",0.6359,0.1144
"1356",-0.2689,-4.7077
"1358",-2.7315,0.923
"1360",3.5383,3.4124
"1361",0.162,-0.0728
"1362",-0.7103,0.0854
"1363",-1.8767,-0.3698
"1364",6.646,8.5409
"1365",3.464,7.5675
"1366",-4.1726,-2.4349
"1368",-0.4778,2.443
"1371",1.157,1.2202
"1373",0.5241,-1.0528
"1374",-1.0195,0.0886
"1375",0.7238,-0.6125
"1376",0.7086,1.6252
"1381",-3.0378,-5.1138
"1382",-5.6405,-4.7383
"1384",-0.1317,0.8313
"1385",-0.6269,-0.5974
"1386",-1.465,-1.1748
"1387",0.7596,-0.3291
"1388",-0.7488,0.7973
"1389",-0.7779,0.2881
"1390",-0.084,0.0848
"1393",-12.5915,-4.8117
"1395",1.8432,1.1717
"1396",-5.5151,-7.4723
"1397",0.9503,-0.9148
"1398",0.026,-0.3848
"1399",0.938,-0.1682
"1400",0.616,-2.5055
"1404",-5.4168,3.0333
"1406",1.6007,1.9844
"1407",0.9285,0.1286
"1408",-1.3759,-0.2721
"1410",1.2631,2.3464
"1411",1.28,-0.1468
"1412",1.5779,3.5033
"1413",-1.9122,-1.556
"1414",-2.4583,-4.4389
"1415",1.3126,1.6343
"1416",0.4237,0.6118
"1417",2.5261,1.7449
"1427",1.1502,2.0097
"1429",-1.1803,-1.1405
"1431",0.6516,0.5927
"1432",0.0172,0.6066
"1434",0.7881,0.4242
"1435",0.3055,1.6512
"1436",3.3984,1.0836
"1438",1.5981,3.8111
"1440",-0.8347,1.6243
"1445",2.0376,0.2758
"1452",-0.2859,-0.0064
"1453",0.1769,0.808
"1454",1.3823,0.4962
"1455",1.3194,0.7395
"1456",-0.5361,-0.2502
"1457",0.6886,0.3655
"1459",0.6209,-0.4393
"1460",0.7267,0.7582
"1462",-2.7621,-2.9672
"1463",12.4827,0.7794
"1464",0.99,-3.3704
"1465",-0.0845,0.4158
"1466",-4.9191,-0.8325
"1468",2.7739,3.2585
"1471",0.66,1.0045
"1474",0.1638,-1.013
"1475",0.2218,1.4291
"1476",-0.5501,-0.4421
"1477",0.4592,0.1749
"1478",1.7759,1.3006
"1479",-0.1925,0.4732
"1482",11.6895,10.6777
"1485",0.7792,4.1222
"1486",-2.5413,0.1836
"1487",1.1122,1.3135
"1488",0.5038,-0.236
"1489",-0.0299,-0.9913
"1490",-5.6489,0.2577
"1491",-0.5359,2.2249
"1495",-0.5471,0.3881
"1496",-1.206,2.1055
"1497",1.1301,0.0869
"1499",-0.3599,0.0501
"1500",-1.8927,-0.8485
"1501",-2.8479,0.2195
"1503",0.3278,1.3652
"1504",-1.7481,-1.0545
"1506",0.3742,-1.1523
"1508",-0.6335,-0.7263
"1509",0.5316,2.7107
"1510",1.9146,5.1354
"1512",0.1525,0.3809
"1513",-1.9291,-0.7738
"1514",0.3293,0.4988
"1515",1.3398,0.7291
"1519",-7.7695,-1.1468
"1520",-10.8129,-3.927
"1521",0.1646,0.2386
"1522",0.7997,3.6106
"1523",0.4783,-0.5985
"1524",-0.9508,-1.3831
"1525",0.2542,-0.4813
"1528",-0.4002,-0.7618
"1534",0.3448,0.3434
"1535",5.6318,-1.4476
"1537",2.022,1.2501
"1540",-2.6098,-0.9007
"1543",-2.1245,-1.9971
"1545",-7.2007,-3.3156
"1548",-0.4745,-1.8863
"1549",-1.9591,-1.38
"1551",-0.6864,-0.3162
"1556",-4.7569,-2.8995
"1557",0.3145,2.1182
"1558",-1.2707,5.8041
"1562",-0.15,2.1614
"1564",0.8125,-0.0326
"1565",0.8886,-0.4401
"1571",-5.2828,-1.6112
"1572",-1.4997,-1.9233
"1573",0.3493,7.7263
"1577",1.0261,-0.8091
"1581",-1.2006,0.0509
"1586",-0.9406,-0.8317
"1588",5.5221,1.3752
"1590",-1.2808,-0.9991
"1591",0.3248,7.4985
"1592",-3.8287,0.0729
"1593",-2.886,3.4786
"1594",1.7481,0.2787
"1595",-0.8682,-0.2359
"1600",-6.3957,-2.5905
"1601",-12.1375,-11.4026
"1602",-9.6613,-0.2929
"1603",0.7017,0.4951
"1604",-2.1532,0.0305
"1605",0.1659,0.7415
"1606",-2.9759,-0.9337
"1607",-3.9681,-1.4291
"1608",3.8524,4.6747
"1609",1.0712,0.9933
"1611",-0.8353,-0.2207
"1612",-1.6585,-2.5098
"1613",-0.0872,0.5042
"1615",0.1155,-0.0385
"1616",0.9927,0.7495
"1620",-3.324,-0.8591
"1621",2.0121,-1.7912
"1622",0.8512,-0.5742
"1627",1.2808,0.2301
"1628",0.4565,2.4447
"1629",-0.6294,0.5474
"1630",-1.1454,-0.2142
"1632",0.3726,0.9346
"1633",0.0213,0.7872
"1634",3.3608,-4.7691
"1635",-0.2042,0.3282
"1636",-3.3219,-3.4338
"1638",1.1183,1.7053
"1639",0.3362,-0.4817
"1641",3.6086,-0.7469
"1642",-0.2921,-0.6587
"1643",-0.4154,-0.9289
"1644",5.3441,2.4577
"1645",-4.9518,-2.5202
"1646",-4.0612,-0.5976
"1647",-1.048,0.9742
"1649",-0.7638,2.1341
"1650",-0.204,0.5973
"1652",1.3685,1.322
"1653",0.0586,-0.8339
"1654",0.2532,0.2777
"1655",-0.3632,-0.4508
"1656",-0.4958,-0.6896
"1657",-1.1357,0.4014
"1659",0.1836,0.3434
"1660",0.6531,0.1468
"1662",1.0127,0.3472
"1663",2.1989,1.767
"1665",0.4433,0.6464
"1666",-1.1311,-0.9517
"1674",2.5986,-5.9425
"1675",0.3354,-0.2335
"1676",0.6096,1.1772
"1677",1.4271,0.8792
"1678",2.3473,1.5967
"1687",-1.7557,0.1766
"1690",-0.7308,-1.0044
"1716",0.2744,-0.0431
"1717",-0.3249,0.7587
"1718",-1.3605,0.2868
"1719",-0.223,0.0585
